case_id,dice_wt,dice_tc,dice_et,inference_time_sec,peak_gpu_memory_mb
BraTS2021_00283,0.9601722854408168,0.9731116778438966,0.9481905251655204,1.8924940999713726,4470.39697265625
BraTS2021_00292,0.8421470496498142,0.8541907514450867,0.6346018322762509,1.8915654000011273,4470.39697265625
BraTS2021_00296,0.9351014787762677,0.9629738899542706,0.9501561235110443,1.8903130000107922,4470.39697265625
BraTS2021_00314,0.8041319181197877,0.9656263978254137,0.9647628657921291,1.8810276999720372,4470.39697265625
BraTS2021_00320,0.8453466123147498,0.9269358134291552,0.8083630598493856,1.8925605000113137,4470.39697265625
BraTS2021_00328,0.9324067038342995,0.9297082461354483,0.8263312689796992,1.8886307000066154,4470.39697265625
BraTS2021_00359,0.9653511186746083,0.9792195278625341,0.9673695449085813,1.8915556999854743,4470.39697265625
BraTS2021_00401,0.9228692789778732,0.9746692685893862,0.9051855817835378,1.8894660000223666,4470.39697265625
BraTS2021_00403,0.927284351717749,0.9820487630615343,0.9739317602040817,1.896073299983982,4470.39697265625
BraTS2021_00412,0.9750002399209221,0.0,0.0,1.8888004999607801,4470.39697265625
BraTS2021_00444,0.8648149738129991,0.8515042998666911,0.8730724251407436,1.9032150999992155,4470.39697265625
BraTS2021_00451,0.9774571988017338,0.9634734665747761,0.9498156913519977,1.8988363000098616,4470.39697265625
BraTS2021_00464,0.9449158963479315,0.9311929084914329,0.9025520680551481,1.9015278000151739,4470.39697265625
BraTS2021_00466,0.9731757983997563,0.920968592929938,0.9052353717553894,1.8964565999922343,4470.39697265625
BraTS2021_00478,0.9586974438341858,0.964575025482377,0.9415171602452433,1.9040039000101388,4470.39697265625
BraTS2021_00479,0.9534707730410256,0.9854565220273369,0.9499280115181571,1.9017321999999695,4470.39697265625
BraTS2021_00504,0.9664690499335953,0.8703661759154397,0.8743204868154159,1.9083880999824032,4470.39697265625
BraTS2021_00561,0.9395515766070374,0.9785229180763351,0.9601248509504103,1.9018186999601312,4470.39697265625
BraTS2021_00579,0.9614712602481967,0.9831635540464063,0.9705874810882889,1.896969800000079,4470.39697265625
BraTS2021_00606,0.9291250444294725,0.9637661847720375,0.9416425803536779,1.8979301999788731,4470.39697265625
BraTS2021_00610,0.9377538854740028,0.962642684192321,0.9275485008818343,1.9040563000016846,4470.39697265625
BraTS2021_00613,0.8465900254806025,0.9490137110974813,0.8990036343857394,1.8995575999724679,4470.39697265625
BraTS2021_00620,0.9651301603753505,0.9840508648095264,0.97887531716528,1.8985783000243828,4470.39697265625
BraTS2021_00628,0.9385648176075697,0.9327381311455631,0.9361811301391829,1.885350099997595,4470.39697265625
BraTS2021_00631,0.9663281377287786,0.9834501797110956,0.9456606869801961,1.8914924000273459,4470.39697265625
BraTS2021_00638,0.8486836549766481,0.9399929403459231,0.9324356530028599,1.8827610000153072,4470.39697265625
BraTS2021_00646,0.9474247553895734,0.970657762750861,0.9780196215086046,1.9018502999679185,4470.39697265625
