case_id,dice_wt,dice_tc,dice_et,inference_time_sec
BraTS2021_01588,0.9599540516430204,0.8556674806674807,0.831520564719441,1.870140199999696
BraTS2021_01598,0.9636603889837996,0.9812141732751195,0.9671414614079292,1.8716199000000415
BraTS2021_01615,0.8173194614443084,0.8776119402985074,0.8748438670996752,1.87581739999996
BraTS2021_01622,0.8752574187232032,0.9708528247571069,0.9530494462642334,1.8683783999999832
BraTS2021_01625,0.981372190699876,0.984099383682065,0.9381155015197569,1.8652498000001287
BraTS2021_01629,0.9103915368700473,0.940710156895128,0.9392851034718659,1.864977600000202
BraTS2021_01635,0.98187235067965,0.876087681532911,0.7421036197247376,1.865934599999946
BraTS2021_01636,0.6843829739299935,0.7992548095201886,0.6952533822517771,1.8641539000000193
BraTS2021_01640,0.9200760393420944,0.9858247422680413,0.9820436875231395,1.8643358999997872
BraTS2021_01647,0.8854109713869145,0.8245245149574691,0.8061586283938025,1.867584099999931
BraTS2021_01648,0.948950643959772,0.9729216395883062,0.9809233997901364,1.8678024999999252
BraTS2021_01651,0.9256397390868039,0.9870905344602834,0.9781014856260852,1.8708211000002848
BraTS2021_01655,0.9471542832112607,0.8745160112017533,0.8866219761002623,1.8636013999998795
BraTS2021_01656,0.9515855955257101,0.32825753704649974,0.820883949340915,1.864955899999586
BraTS2021_01659,0.9496368102006689,0.9820172894353344,0.9744366567510929,1.8677192000000105
BraTS2021_01660,0.918314694821239,0.9545804761537869,0.9179317163962077,1.865639299999657
BraTS2021_01661,0.9630024451832555,0.9534382798637403,0.9546573211789491,1.868198300000131
BraTS2021_01663,0.9543119670435859,0.855120732722731,0.877906976744186,1.8646799999996801
BraTS2021_01666,0.9166511901445508,0.6246760332833174,0.0,1.8642170000002807
